Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: JetBlue Airways (B6)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","01/08/2022","0720","N793JB","JFK","16:49","17:41","131","130","52","18:03","22","0","0","0","0","51"
"B6","01/08/2022","0920","N579JB","JFK","07:00","06:58","127","169","-2","07:12","14","0","0","40","0","0"
"B6","01/08/2022","2606","N249JB","EWR","18:48","20:07","134","119","79","20:21","14","19","0","0","0","45"
"B6","01/09/2022","0396","N3058J","BOS","10:55","11:01","147","145","6","11:19","18","0","0","0","0","0"
"B6","01/09/2022","0467","N294JB","FLL","07:30","07:31","110","107","1","07:43","12","0","0","0","0","0"
"B6","01/09/2022","0520","N594JB","JFK","12:23","13:13","126","151","50","13:27","14","50","0","25","0","0"
"B6","01/09/2022","0696","N192JB","BOS","17:38","18:29","151","140","51","18:44","15","40","0","0","0","0"
"B6","01/09/2022","0720","N649JB","JFK","16:49","17:47","131","191","58","18:03","16","26","0","60","0","32"
"B6","01/09/2022","0920","N598JB","JFK","07:00","06:53","127","133","-7","07:10","17","0","0","0","0","0"
"B6","01/09/2022","2606","N292JB","EWR","18:46","19:07","134","118","21","19:20","13","0","0","0","0","0"
"B6","01/10/2022","0396","N3085J","BOS","10:55","10:55","147","134","0","11:13","18","0","0","0","0","0"
"B6","01/10/2022","0467","N187JB","FLL","07:30","07:25","110","102","-5","07:37","12","0","0","0","0","0"
"B6","01/10/2022","0520","N554JB","JFK","12:23","12:21","126","120","-2","12:39","18","0","0","0","0","0"
"B6","01/10/2022","0696","N206JB","BOS","17:38","18:30","151","141","52","18:47","17","8","0","0","0","34"
"B6","01/10/2022","0720","N504JB","JFK","16:49","16:42","131","120","-7","16:56","14","0","0","0","0","0"
"B6","01/10/2022","0920","N608JB","JFK","07:00","08:09","127","119","69","08:26","17","61","0","0","0","0"
"B6","01/10/2022","2606","N292JB","EWR","18:46","18:31","134","131","-15","18:51","20","0","0","0","0","0"
"B6","01/11/2022","0467","N368JB","FLL","07:30","07:30","110","99","0","07:40","10","0","0","0","0","0"
"B6","01/11/2022","0520","N597JB","JFK","12:23","12:19","126","137","-4","12:36","17","0","0","0","0","0"
"B6","01/11/2022","0696","N3065J","BOS","17:42","17:52","151","154","10","18:12","20","0","0","0","0","0"
"B6","01/11/2022","0720","N640JB","JFK","16:49","17:00","131","127","11","17:15","15","0","0","0","0","0"
"B6","01/11/2022","0920","N636JB","JFK","07:00","07:40","127","129","40","07:55","15","40","0","2","0","0"
"B6","01/12/2022","0467","N353JB","FLL","07:30","07:27","110","98","-3","07:40","13","0","0","0","0","0"
"B6","01/12/2022","0520","N571JB","JFK","12:23","12:12","126","144","-11","12:37","25","0","0","0","0","0"
"B6","01/12/2022","0696","N179JB","BOS","17:38","17:29","151","143","-9","17:42","13","0","0","0","0","0"
"B6","01/12/2022","0720","N599JB","JFK","16:49","17:53","131","126","64","18:09","16","12","0","0","0","47"
"B6","01/12/2022","0920","N607JB","JFK","07:00","06:50","127","131","-10","07:02","12","0","0","0","0","0"
"B6","01/13/2022","0396","N3065J","BOS","10:55","10:44","147","149","-11","11:02","18","0","0","0","0","0"
"B6","01/13/2022","0467","N193JB","FLL","07:30","07:26","110","116","-4","07:47","21","0","0","0","0","0"
"B6","01/13/2022","0520","N571JB","JFK","12:23","12:16","126","129","-7","12:29","13","0","0","0","0","0"
"B6","01/13/2022","0696","N238JB","BOS","17:38","17:28","151","142","-10","17:39","11","0","0","0","0","0"
"B6","01/13/2022","0720","N653JB","JFK","16:49","16:40","131","133","-9","17:00","20","0","0","0","0","0"
"B6","01/13/2022","0920","N618JB","JFK","07:00","06:50","127","131","-10","07:05","15","0","0","0","0","0"
"B6","01/13/2022","2606","N187JB","EWR","18:46","18:41","134","136","-5","18:53","12","0","0","0","0","0"
"B6","01/14/2022","0396","N3044J","BOS","10:55","10:47","147","150","-8","11:03","16","0","0","0","0","0"
"B6","01/14/2022","0467","N190JB","FLL","07:30","07:24","110","121","-6","07:40","16","0","0","0","0","0"
"B6","01/14/2022","0520","N659JB","JFK","12:23","12:15","126","132","-8","12:33","18","0","0","0","0","0"
"B6","01/14/2022","0696","N294JB","BOS","17:38","17:44","151","154","6","18:04","20","0","0","0","0","0"
"B6","01/14/2022","0720","N598JB","JFK","16:49","17:22","131","120","33","17:32","10","22","0","0","0","0"
"B6","01/14/2022","0920","N624JB","JFK","07:00","06:58","127","139","-2","07:12","14","0","0","0","0","0"
"B6","01/14/2022","1320","N298JB","JFK","21:49","21:34","129","125","-15","21:47","13","0","0","0","0","0"
"B6","01/14/2022","2606","N187JB","EWR","18:46","18:42","134","156","-4","18:58","16","0","0","18","0","0"
"B6","01/15/2022","0396","N3023J","BOS","10:55","10:46","147","133","-9","11:01","15","0","0","0","0","0"
"B6","01/15/2022","0467","N318JB","FLL","07:30","07:36","110","107","6","07:49","13","0","0","0","0","0"
"B6","01/15/2022","0520","N834JB","JFK","12:23","12:19","126","129","-4","12:36","17","0","0","0","0","0"
"B6","01/15/2022","0720","N639JB","JFK","16:49","21:07","131","150","258","21:23","16","44","0","19","0","214"
"B6","01/15/2022","0920","N592JB","JFK","07:00","07:00","127","149","0","07:27","27","0","0","22","0","0"
"B6","01/15/2022","1320","N294JB","JFK","21:49","00:01","129","114","132","00:18","17","1","0","0","0","116"
"B6","01/15/2022","2606","N304JB","EWR","18:48","18:42","134","122","-6","18:56","14","0","0","0","0","0"
"B6","01/16/2022","0396","N306JB","BOS","10:55","12:38","147","209","103","14:04","86","77","0","62","0","26"
"B6","01/16/2022","0467","N318JB","FLL","07:30","07:28","110","118","-2","07:43","15","0","0","0","0","0"
"B6","01/16/2022","0520","N552JB","JFK","12:23","12:23","126","193","0","13:45","82","0","0","67","0","0"
